0	34600	-2054461122	24736
36	232	-2054461122	24736
55	282	-2054461122	24736
62	9719	1252115071	3781
65	9719	-1590940960	0
70	252	-2054461122	24736
72	9719	-228685132	0
72	9719	229252726	0
75	9719	-1913527359	929
86	9719	1967622804	0
87	9719	-956709904	1139
95	258	-2054461122	24736
95	9719	-1114514435	3029
109	376	-2054461122	24736
119	9719	-1946124889	0
119	9719	1568472629	0
120	9719	-1922579902	0
133	9719	217265596	14521
136	9719	-1627095571	11324
138	382	-2054461122	24736
141	9719	-2135387175	671
141	9719	-1850642447	1512
141	9719	660021778	1136
141	9719	-1535004108	1647
141	9719	-596874980	1271
155	9719	-75564420	5933
161	9719	-1654112932	0
162	9719	-1351906898	231
162	9719	-1349136335	231
168	269	-2054461122	24736
172	650	-2054461122	24736
183	284	-2054461122	24736
192	287	-2054461122	24736
195	55	1346075225	985
198	285	-2054461122	24736
208	348	-2054461122	24736
224	390	-2054461122	24736
227	55	1346075225	985
247	649	-2054461122	24736
315	679	-2054461122	24736
319	686	-2054461122	24736
344	353	-2054461122	24736
356	430	-2054461122	24736
399	377	-2054461122	24736
419	514	-2054461122	24736
433	347	-2054461122	24736
442	559	-2054461122	24736
453	398	-2054461122	24736
467	104	-2054461122	24736
489	34600	-2054461122	24736
498	365	-2054461122	24736
506	184	-2054461122	24736
522	55	1346075225	985
532	56	-2054461122	24736
533	161	-2054461122	24736
533	493	-2054461122	24736
537	34601	-2054461122	24736
545	387	-2054461122	24736
555	55	1346075225	985
565	34602	-1815350774	190
576	180	-2054461122	24736
581	176	-2054461122	24736
583	448	-2054461122	24736
661	260	-2054461122	24736
676	1612	-356284171	0
683	235	-2054461122	24736
693	439	-2054461122	24736
701	248	-2054461122	24736
705	249	-2054461122	24736
735	218	-2054461122	24736
765	128	-2054461122	24736
788	139	-2054461122	24736
795	55	1346075225	985
807	505	-2054461122	24736
832	55	1346075225	985
847	221	-2054461122	24736
850	175	-2054461122	24736
862	34603	-2054461122	24736
887	201	-2054461122	24736
901	273	-2054461122	24736
933	650	-2054461122	24736
937	232	-2054461122	24736
961	1612	-1056032271	0
